corruption,policy,budget,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
clean,entropy,0.0,3000,0.0,0.8916666666666667,0.18233333333333332,1.7400000000000004,0.0,22,22,0.0
clean,entropy,0.1,3000,0.1,0.9288888888888889,0.109,1.0900000000000003,0.4090909090909091,22,13,0.40219378427787933
clean,entropy,0.2,3000,0.2,0.9566666666666667,0.06,0.6000000000000001,0.6363636363636364,22,8,0.6709323583180987
clean,moe_mean,0.0,3000,0.0,0.8913333333333333,0.16933333333333334,1.6066666666666667,0.0,18,18,0.0
clean,moe_mean,0.1,3000,0.1,0.9244444444444444,0.116,1.1600000000000001,0.2222222222222222,18,14,0.31496062992125984
clean,moe_mean,0.2,3000,0.2,0.9416666666666667,0.078,0.7800000000000001,0.4444444444444444,18,10,0.5393700787401575
clean,moe_tail,0.0,3000,0.0,0.8876666666666667,0.16733333333333333,1.55,0.0,17,17,0.0
clean,moe_tail,0.1,3000,0.1,0.9037037037037037,0.121,1.2100000000000002,0.35294117647058826,17,11,0.27689243027888444
clean,moe_tail,0.2,3000,0.2,0.9141666666666667,0.08933333333333333,0.8933333333333335,0.6470588235294118,17,6,0.46613545816733065
blur,entropy,0.0,3000,0.0,0.871,0.29833333333333334,2.693333333333334,0.0,56,56,0.0
blur,entropy,0.1,3000,0.1,0.904074074074074,0.20066666666666666,2.0066666666666673,0.30357142857142855,56,39,0.32737430167597764
blur,entropy,0.2,3000,0.2,0.93875,0.10266666666666667,1.0266666666666668,0.6964285714285714,56,17,0.6558659217877095
blur,moe_mean,0.0,3000,0.0,0.8686666666666667,0.2846666666666667,2.5333333333333337,0.0,50,50,0.0
blur,moe_mean,0.1,3000,0.1,0.8970370370370371,0.19566666666666666,1.956666666666667,0.34,50,33,0.3126463700234192
blur,moe_mean,0.2,3000,0.2,0.9270833333333334,0.11466666666666667,1.146666666666667,0.62,50,19,0.5971896955503513
blur,moe_tail,0.0,3000,0.0,0.8646666666666667,0.261,2.2566666666666673,0.0,41,41,0.0
blur,moe_tail,0.1,3000,0.1,0.8837037037037037,0.17266666666666666,1.6800000000000002,0.4634146341463415,41,22,0.3384418901660281
blur,moe_tail,0.2,3000,0.2,0.9054166666666666,0.11033333333333334,1.1033333333333335,0.7560975609756098,41,10,0.5772669220945083
jpeg,entropy,0.0,3000,0.0,0.878,0.232,2.1000000000000005,0.0,36,36,0.0
jpeg,entropy,0.1,3000,0.1,0.9137037037037037,0.14333333333333334,1.4333333333333336,0.4166666666666667,36,21,0.382183908045977
jpeg,entropy,0.2,3000,0.2,0.9404166666666667,0.07833333333333334,0.7833333333333334,0.7222222222222222,36,10,0.6623563218390804
jpeg,moe_mean,0.0,3000,0.0,0.87,0.23166666666666666,2.016666666666667,0.0,33,33,0.0
jpeg,moe_mean,0.1,3000,0.1,0.9070370370370371,0.141,1.4100000000000004,0.45454545454545453,33,18,0.39136690647482014
jpeg,moe_mean,0.2,3000,0.2,0.9308333333333333,0.08633333333333333,0.8633333333333335,0.7272727272727273,33,9,0.6273381294964029
jpeg,moe_tail,0.0,3000,0.0,0.859,0.22266666666666668,1.816666666666667,0.0,27,27,0.0
jpeg,moe_tail,0.1,3000,0.1,0.8818518518518519,0.13933333333333334,1.33,0.6666666666666666,27,9,0.37425149700598803
jpeg,moe_tail,0.2,3000,0.2,0.8995833333333333,0.092,0.9200000000000002,0.8888888888888888,27,3,0.5868263473053892
