seed,tail_weight,objective,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
17,0.0,0.2568493150684932,3066,0.1999347684279191,0.933958418263351,0.07338551859099804,0.7338551859099807,0.75,28,7,0.661144578313253
17,0.25,0.2568493150684932,3066,0.1999347684279191,0.9253974724826742,0.07338551859099804,0.7338551859099807,0.8260869565217391,23,4,0.6341463414634146
17,0.5,0.28082191780821925,3066,0.1999347684279191,0.9168365267019976,0.08023483365949119,0.8023483365949122,0.8260869565217391,23,4,0.6019417475728155
17,0.75,0.28995433789954345,3066,0.1999347684279191,0.9127598858540562,0.08284409654272668,0.8284409654272671,0.8260869565217391,23,4,0.5909822866344605
17,1.0,0.29566210045662106,3066,0.1999347684279191,0.9107215654300856,0.08447488584474885,0.8447488584474888,0.8333333333333334,24,4,0.5875796178343949
42,0.0,0.25114155251141557,3066,0.1999347684279191,0.9331430900937627,0.07175472928897586,0.7175472928897588,0.8666666666666667,30,4,0.674074074074074
42,0.25,0.29337899543379,3066,0.1999347684279191,0.9200978393803506,0.08382257012393998,0.8382257012394001,0.8387096774193549,31,5,0.6231671554252199
42,0.5,0.31849315068493156,3066,0.1999347684279191,0.9139828781084387,0.09099804305283757,0.909980430528376,0.8,30,6,0.5835820895522388
42,0.75,0.3207762557077626,3066,0.1999347684279191,0.9115368935996738,0.09165035877364644,0.9165035877364647,0.8,30,6,0.5793413173652695
42,1.0,0.32420091324200917,3066,0.1999347684279191,0.9103139013452914,0.09262883235485975,0.9262883235485978,0.8064516129032258,31,6,0.5811209439528023
73,0.0,0.25114155251141557,3066,0.1999347684279191,0.9327354260089686,0.07175472928897586,0.7175472928897588,0.8571428571428571,35,5,0.6883852691218131
73,0.25,0.2568493150684932,3066,0.1999347684279191,0.9262128006522625,0.07338551859099804,0.7338551859099807,0.8787878787878788,33,4,0.6676514032496307
73,0.5,0.26369863013698636,3066,0.1999347684279191,0.9172441907867916,0.07534246575342465,0.7534246575342468,0.9411764705882353,34,2,0.6587887740029542
73,0.75,0.26826484018264846,3066,0.1999347684279191,0.9156135344476152,0.0766470971950424,0.7664709719504242,0.9393939393939394,33,2,0.6502976190476191
73,1.0,0.27397260273972607,3066,0.1999347684279191,0.9135752140236445,0.07827788649706457,0.782778864970646,0.9354838709677419,31,2,0.6324655436447167
