seed,policy,source,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
17,random,ASONAM17_Damage_Image_Dataset,4200,0.20952380952380953,0.8599397590361446,0.19214285714285714,1.8142857142857145,0.24444444444444444,45,34,0.22028985507246376
17,random,aidr_disaster_types,2069,0.1971967133881102,0.9253461770018061,0.13919768003866603,1.3919768003866606,0.0,20,20,0.08571428571428572
17,random,aidr_info,1919,0.19437206878582594,0.9391979301423027,0.07191245440333507,0.7191245440333509,0.0,4,4,0.14814814814814814
17,random,crisismmd,4822,0.19411032766486935,0.8777663407102418,0.14661965989216094,1.4661965989216097,0.4117647058823529,34,20,0.25343189017951423
17,random,multimodal-deep-learning-disaster-response-mouzannar,2624,0.20160060975609756,0.8921241050119332,0.17797256097560976,1.779725609756098,0.18181818181818182,33,27,0.19482758620689655
17,entropy,ASONAM17_Damage_Image_Dataset,4200,0.2330952380952381,0.9292145296491773,0.08976190476190476,0.8976190476190479,0.6666666666666666,45,15,0.6357487922705314
17,entropy,aidr_disaster_types,2069,0.1580473658772354,0.9764638346727899,0.031899468342194294,0.31899468342194304,0.85,20,3,0.7904761904761904
17,entropy,aidr_info,1919,0.13183949973944764,0.9861944777911165,0.015633142261594582,0.15633142261594585,0.75,4,1,0.8148148148148148
17,entropy,crisismmd,4822,0.23247615097469929,0.9478519319102945,0.060348403152218996,0.6034840315221901,0.7647058823529411,34,8,0.6927138331573389
17,entropy,multimodal-deep-learning-disaster-response-mouzannar,2624,0.16996951219512196,0.9522497704315886,0.07393292682926829,0.7393292682926832,0.696969696969697,33,10,0.6655172413793103
17,single_model_risk,ASONAM17_Damage_Image_Dataset,4200,0.25214285714285717,0.9118115249920408,0.08714285714285715,0.8714285714285717,0.8,45,9,0.6463768115942029
17,single_model_risk,aidr_disaster_types,2069,0.12614789753504108,0.974004424778761,0.04253262445625906,0.4253262445625907,0.75,20,5,0.7206349206349206
17,single_model_risk,aidr_info,1919,0.14382490880667015,0.9762629336579428,0.02709744658676394,0.27097446586763946,0.75,4,1,0.6790123456790124
17,single_model_risk,crisismmd,4822,0.2314392368311904,0.9349703184025904,0.07071754458730817,0.7071754458730819,0.7058823529411765,34,10,0.6399155227032735
17,single_model_risk,multimodal-deep-learning-disaster-response-mouzannar,2624,0.15777439024390244,0.9466063348416289,0.09641768292682927,0.964176829268293,0.5454545454545454,33,15,0.5637931034482758
17,l2d_single_head,ASONAM17_Damage_Image_Dataset,4200,0.24738095238095237,0.8971844353052831,0.10880952380952381,1.0880952380952384,0.7142857142857143,42,12,0.5588803088803089
17,l2d_single_head,aidr_disaster_types,2069,0.125181246979217,0.9640883977900553,0.059932334461092314,0.5993233446109233,0.5882352941176471,17,7,0.5782312925170068
17,l2d_single_head,aidr_info,1919,0.16258467952058364,0.9663970130678282,0.03335070349140177,0.3335070349140178,1.0,5,0,0.6404494382022472
17,l2d_single_head,crisismmd,4822,0.2287432600580672,0.923635385856413,0.0854417254251348,0.8544172542513482,0.5714285714285714,28,12,0.5545945945945946
17,l2d_single_head,multimodal-deep-learning-disaster-response-mouzannar,2624,0.15739329268292682,0.9384893713251922,0.10823170731707317,1.0823170731707321,0.4482758620689655,29,16,0.46616541353383456
17,moe_mean,ASONAM17_Damage_Image_Dataset,4200,0.2469047619047619,0.9111602908631047,0.0880952380952381,0.8809523809523812,0.8,45,9,0.6432015429122468
