seed,policy,budget,tail_weight,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
17,random,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
17,random,0.05,,15634,0.04995522578994499,0.8896519221706053,0.18664449277216325,1.8180887808622235,0.022058823529411766,136,133,0.03981572885817703
17,random,0.1,,15634,0.09997441473711143,0.8898443607419515,0.17609057183062557,1.760905718306256,0.08088235294117647,136,125,0.09410990457387299
17,random,0.2,,15634,0.19994882947422285,0.889350815478094,0.15395931943200716,1.539593194320072,0.22794117647058823,136,105,0.2079631457716354
17,random,0.3,,15634,0.2999872073685557,0.8900767543859649,0.1342586670078035,1.3425866700780353,0.3235294117647059,136,92,0.30931227377426784
17,random,0.4,,15634,0.39996162210566716,0.8906299968020467,0.11276704618139952,1.1276704618139954,0.4485294117647059,136,75,0.4198749588680487
17,entropy,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
17,entropy,0.05,,15634,0.04995522578994499,0.9087053120581701,0.14858641422540617,1.485864142254062,0.2867647058823529,136,97,0.23560381704508063
17,entropy,0.1,,15634,0.09997441473711143,0.9256627105394073,0.11564538825636433,1.1564538825636437,0.4411764705882353,136,76,0.40506745640013164
17,entropy,0.2,,15634,0.19994882947422285,0.9529101375119923,0.06140463093258283,0.6140463093258285,0.7279411764705882,136,37,0.684106614017769
17,entropy,0.3,,15634,0.2999872073685557,0.9695723684210527,0.031533836510170145,0.3153383651017015,0.8823529411764706,136,16,0.8377755840737084
17,entropy,0.4,,15634,0.39996162210566716,0.9780407206054792,0.019061020851989255,0.19061020851989258,0.9411764705882353,136,8,0.9019414281013491
17,weighted_entropy,0.0,,15634,0.0,0.8786618907509275,0.18344633491109122,1.621082256620187,0.0,97,97,0.0
17,weighted_entropy,0.05,,15634,0.04995522578994499,0.8971251599003568,0.14334143533324806,1.4334143533324808,0.26804123711340205,97,71,0.2186192468619247
17,weighted_entropy,0.1,,15634,0.09997441473711143,0.9129415109089617,0.11417423564027121,1.1417423564027123,0.4020618556701031,97,58,0.3776150627615063
17,weighted_entropy,0.2,,15634,0.19994882947422285,0.9354812919731372,0.06971984137137009,0.6971984137137011,0.7216494845360825,97,27,0.6199442119944212
17,weighted_entropy,0.3,,15634,0.2999872073685557,0.9533991228070176,0.04125623640782909,0.412562364078291,0.8865979381443299,97,11,0.7751046025104602
17,weighted_entropy,0.4,,15634,0.39996162210566716,0.9666346871335678,0.023346552385825763,0.2334655238582577,0.9587628865979382,97,4,0.8727336122733612
17,single_model_risk,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
17,single_model_risk,0.05,,15634,0.04995522578994499,0.9048677034942436,0.1517845720864782,1.5178457208647822,0.27941176470588236,136,98,0.21915103652517276
17,single_model_risk,0.1,,15634,0.09997441473711143,0.9198351218818848,0.11724446718690035,1.1724446718690038,0.47794117647058826,136,71,0.39684106614017767
17,single_model_risk,0.2,,15634,0.19994882947422285,0.9421170450911417,0.07061532557247026,0.7061532557247028,0.7058823529411765,136,40,0.6367226061204343
17,single_model_risk,0.3,,15634,0.2999872073685557,0.9540387426900585,0.04311116796725086,0.43111167967250874,0.875,136,17,0.778216518591642
17,single_model_risk,0.4,,15634,0.39996162210566716,0.9617311587250826,0.027951899705769476,0.27951899705769484,0.9411764705882353,136,8,0.8562026982560053
17,l2d_single_head,0.0,,15634,0.0,0.8864653959319432,0.18856338748880644,1.7502878342074966,0.0,119,119,0.0
17,l2d_single_head,0.05,,15634,0.04995522578994499,0.8982023833568976,0.15472687731866444,1.5472687731866448,0.23529411764705882,119,91,0.17944369063772048
17,l2d_single_head,0.1,,15634,0.09997441473711143,0.911306943358681,0.12594345656901626,1.2594345656901627,0.3865546218487395,119,73,0.332089552238806
17,l2d_single_head,0.2,,15634,0.19994882947422285,0.9304445155100736,0.08737367276448765,0.8737367276448768,0.5798319327731093,119,50,0.5366350067842606
17,l2d_single_head,0.3,,15634,0.2999872073685557,0.9459978070175439,0.053856978380452857,0.5385697838045287,0.7899159663865546,119,25,0.7143826322930801
17,l2d_single_head,0.4,,15634,0.39996162210566716,0.9548022598870056,0.036586925930663934,0.36586925930663944,0.865546218487395,119,16,0.8059701492537313
17,moe_mean,0.0,,15634,0.0,0.8863374696175004,0.19201739797876424,1.7835486759626458,0.0,127,127,0.0
17,moe_mean,0.05,,15634,0.04995522578994499,0.9019053389887565,0.15255212997313547,1.5255212997313552,0.2440944881889764,127,96,0.2055296469020653
17,moe_mean,0.1,,15634,0.09997441473711143,0.9201193944993249,0.11359856722527824,1.1359856722527826,0.48031496062992124,127,66,0.4083944037308461
17,moe_mean,0.2,,15634,0.19994882947422285,0.9419571474256476,0.06933606242804145,0.6933606242804147,0.7007874015748031,127,38,0.6389073950699533
17,moe_mean,0.3,,15634,0.2999872073685557,0.9539473684210527,0.04247153639503646,0.4247153639503647,0.8740157480314961,127,16,0.7788141239173884
17,moe_mean,0.4,,15634,0.39996162210566716,0.9625839462743844,0.02807982602021236,0.2807982602021236,0.9212598425196851,127,10,0.8537641572285143
17,moe_tail,0.0,,15634,0.0,0.8794294486375848,0.18299859281054112,1.624280414481259,0.0,100,100,0.0
17,moe_tail,0.05,,15634,0.04995522578994499,0.8901232074328419,0.14212613534604068,1.3773826276064987,0.4,100,60,0.22334847955260398
17,moe_tail,0.1,,15634,0.09997441473711143,0.8987278800369555,0.11884354611743636,1.188435461174364,0.55,100,45,0.3505767214260748
17,moe_tail,0.2,,15634,0.19994882947422285,0.9112567956507835,0.08615837277728029,0.8615837277728031,0.75,100,25,0.5291855994407549
17,moe_tail,0.3,,15634,0.2999872073685557,0.9239766081871345,0.060701036203146985,0.60701036203147,0.87,100,13,0.6682977979727368
17,moe_tail,0.4,,15634,0.39996162210566716,0.9370003197953309,0.04157605219393629,0.415760521939363,0.93,100,7,0.7728067109402307
17,calibrated_tail,0.0,0.0,15634,0.0,0.8863374696175004,0.19201739797876424,1.7835486759626458,0.0,127,127,0.0
17,calibrated_tail,0.05,0.0,15634,0.04995522578994499,0.9019053389887565,0.15255212997313547,1.5255212997313552,0.2440944881889764,127,96,0.2055296469020653
