,mean_cost,mean_cost,cvar90,cvar90,selective_accuracy,selective_accuracy,severe_error_capture,severe_error_capture
,mean,std,mean,std,mean,std,mean,std
policy,,,,,,,,
calibrated_tail,0.06519977826105497,0.0036773716536353113,0.6519977826105499,0.03677371653635309,0.9418238993710691,0.0001664267668265415,0.7561946705814315,0.049639355261485996
entropy,0.06140463093258283,0.0,0.6140463093258285,0.0,0.9529101375119923,0.0,0.7279411764705882,0.0
guarded,0.06140463093258283,0.0,0.6140463093258285,0.0,0.9529101375119923,0.0,0.7279411764705882,0.0
l2d_single_head,0.08253379386806532,0.008217295136015065,0.8253379386806534,0.08217295136015071,0.9315637991685323,0.004893887413752116,0.6488511781444556,0.0667968944402891
moe_mean,0.06519977826105497,0.0036773716536353113,0.6519977826105499,0.03677371653635309,0.9418238993710691,0.0001664267668265415,0.7561946705814315,0.049639355261485996
moe_tail,0.08283228860176539,0.0031517679403236347,0.828322886017654,0.03151767940323631,0.9142415520733397,0.0026045819684193112,0.7698776758409785,0.01950665263329217
random,0.1557076457293932,0.0016198388054430594,1.5570764572939322,0.016198388054430593,0.8896972604199979,0.0006704906526707956,0.20098039215686272,0.029716557972995442
single_model_risk,0.06560487825679075,0.004592150817937929,0.6560487825679077,0.04592150817937926,0.9433695768041787,0.0011029848676354216,0.7598039215686274,0.0489582949888191
weighted_entropy,0.06971984137137009,0.0,0.6971984137137012,0.0,0.9354812919731371,0.0,0.7216494845360825,0.0
